review,rating,sentiment,sentiment_ai,sentiment_final
"Вже не вперше беру,поглинання чудове,нам вистачає на цілу ніч,в порівнянні з dada попка залишається чистою не мокра.
",5,Positive,Positive,Positive
"Не можу оцінити відповідно товар, шнур не підходить. Шкода що не читала відгуки про товар заздалегідь .
",3,Neutral,Negative,Negative
"Памперси українського виробництва. Взагальному нормальні, але польського виробництва плотніші та грубші. Тому більше замовляти не буду.
",3,Neutral,Negative,Neutral
"Звертаюся до Розетки чи до представника бренду!
В комплекті була інструкція до іншої коси, 2-х тактної, де мені взяти інструкцію до цього товару???",1,Negative,Negative,Negative
"Купив собі. Пробував на авто зривати . то зірвав без проблем і затянув. Як для себе буде норм, а от для СТО то мабудь невитримає.
",3,Neutral,Neutral,Neutral
Зламався на 2 використання ( за кілька секунд згорів діод на включателі а потім і весь пістолет почав іскритись і більше не вмикався,2,Negative,Negative,Negative
Після 11 днів користування перестав грати сабуфер. Будемо відправляти по гарантії на заміну або для повернення грошей!,1,Negative,Negative,Negative
"Коляска красива та сучасна. Та передні колеса справжній кошмар. Вони крутяться, да так що коляска не їде, довго ми мучилася поки не розрутили їх, та зробили так щоб не крутилися.
",1,Negative,Negative,Negative
"Автопилосос добре виконує прибирання, тяне трохи менше ніж ті, що від 220 Вольт, але достатньо щоб прибирати у авто.",5,Positive,Positive,Positive
"Сам по собі прорізувач яскравий,приємний на дотик.
Дитину в 4 місяці даний гризунець взагалі не зацікавив, вона не розуміє що з ним робити.Бере прорізувачі лише круглої форми або гризе пустушку.",4,Positive,Neutral,Positive
"Сьогодні отримав.Підключився без проблем.Потрібна річ щоб самому діагностувати і стирати чек.Дякую за оперативну відправку і якісний товар а також за програми.
",5,Positive,Positive,Positive
"Загалом килимок доволі зручний - тонкий, не ковзає, легко скручується.
Недолік - новий килимок прийшов брудний та з вм'ятиною.
",3,Neutral,Negative,Neutral
"Чудовий вибір, якщо хочете налаштувати один раз і забути. Все необхідне для себе я знайшов в цьому маршрутизаторі.
",5,Positive,Positive,Positive
Сенсор керування світлом перестав працювати за 1 хвилину після включення. Далі він живе своїм власним життям. Вкрай здивований реалізацією за такі гроші такої неякісної продукції.,1,Negative,Negative,Negative
"Якість на фото. Будьте готові до подряпин, які побачите після зняття дерев'яного каркасу та картонки по периметру.
",2,Negative,Negative,Negative
"Гарний подарунок для дівчинки, створює затишок і теплу атмосферу. Повністю відповідає зображенню, матеріал якісний, без запаху, сенсор носика працює при дотику.
",4,Positive,Positive,Positive
"Брокколі одне із перших пюре, які спробувала моя донечка. пюре Gerber брокколі їй дуже сподобалось, смачне та має приємну консистенцію. Рекомендую.
",5,Positive,Positive,Positive
"Легко збирати - все просто скручується, нічого не ""підклинює"". Легко приховати у п'єдесталі (підставці під умивальник) - гофра розтягується-стягується, згинається. Для несантехніка - саме те.
",5,Positive,Neutral,Positive
"Опис не відповідає товару. Ножиці НЕ манікюрні, НЕ для нігтів. Просто це слово є в назві фірми. ",2,Negative,Negative,Negative
"Повернула товар на експертизу 24.03.2022 досі не отримала результат, щоб обміняти по гарантії або повернути кошти.",2,Negative,Negative,Negative
"Мозаіка хорошої якості. Але не було однієї картки з пінгвіном. До мене слідів відкриття упаковки не помітила
",3,Neutral,Negative,Neutral
"Взагалі не розумію чому у цих салфеток такий рейтинг високий.. Якийсь папір, змочений водою. Деколи рвуться при діставанні з упаковки та при протиранні шкіри.
",2,Negative,Negative,Negative
"дуже сподобались, кращі як на фото , якість шикарна, як б'ють по ногам навіть не чути))) рекомендую!
",5,Positive,Positive,Positive
"Розчарована якістю. Покриття стирається важко (у тому числі спеціальним скретчером).
Покриття нерівномірне, у збільшеній зоні Європи взагалі не стирається нічим, окрім ножа чи ножиць.
Не рекомендую.
",1,Negative,Negative,Negative
"Маю витяжку PYRAMIDA якою вже 10 років користуюся доволі часто і продуктивно. Вона надійна, якісна та доступна, яка прослужить довгі роки ефективно виконуючи свою функцію.",5,Positive,Positive,Positive
"Гарна якість за ці гроші , чудово підійшов під руль для ігор , відрізав лишнє , та готово ! Продавець швидко його відправив !
",5,Positive,Positive,Positive
"Маленька та якісна, легко підключити, та не боїшся що щось закоротить, чи передавить кабель при підєднанні ",3,Neutral,Positive,Positive
"Співробітникам Розетки необхідно всеж таки перевіряти якість товару перед видачею його клієнтам. Я розумію, що остаточна перевірка якості залишається за клієнтом.
",3,Neutral,Neutral,Neutral
Якби знала що вони такі тонюсіньки то не купила б.За 115гр. можна купити кращі .,1,Negative,Negative,Negative
"Великий об""єм фарби і кондицірнеру, хороші рукавички. Фарба не пече. Колір вихидить дуже гарний, після фарбування волосся м""якеньке та не пошкоджене. Зафарбовує гарно.
",5,Positive,Positive,Positive
"Легкий, достатньо потужний для свого розміру. Вразила кількість насадок, а особливо сподобалась турбощітка. В турборежимі чудово чистить килими. Просто і швидко виймається контейнер з пилом.
",5,Positive,Positive,Positive
"Не купуйте і НІКОЛИ не пийте ЦЕ. Біля віскі ця бурда навіть порят не стояла.
",1,Negative,Negative,Negative
"Як тільки прикріпили, одразу лопнуло кріплення, хоч і не сильно затиснули. Білий силікон, після того, як поставили другий раз стаканчик, став сірий
",1,Negative,Negative,Negative
"Молоко вскип'ячуйте щоб дебело було гаряче потім ст. ложку шоколаду і розколочуй ростане і пить
",5,Positive,Neutral,Neutral
Не відповідає заявленим характеристикам. Латуні там 0 цілих 0десятих. Купив і думаю повернути. Перемикальний вузол із пластику.,1,Negative,Negative,Negative
"Не рекомендую брати даний набір краще вже за ті гроші замовити великий сет суші або купити квітів
",1,Negative,Negative,Negative
"Коли вам набридне перепідключати кабелі до телевізора так само як і мені, сміливи беріть данний пристрій. З моїми консолею і маком зображення на плазму виводить супер
",4,Positive,Positive,Positive
"Через тиждень роботи послали періодично рипіти, і коли довго сидиш в них починають боліти вуха
",3,Neutral,Negative,Negative
"Гейнер виконує свою функцію чудово. Однак в чоловіка на нього є алергічна реакція: сильний свербіж шкіри.
",3,Neutral,Negative,Neutral
"крем дуже темний, погано прилягає до шкіри, скатується ((( чесно, то за такі гроші можна було б 3 шт крему ВВ придбати різних відтінків",2,Negative,Negative,Negative
"В мене питання - навіщо в суміш додавати пальмову олію??? Зараз педіатр рекомендувала цю суміш, але цей інгредієнт змушує шукати щось інше
",4,Positive,Negative,Negative
"Горішниця просто чудо.Горішки виходять невеликі за розміром,пропікаються ідеально,головне розділити тісто на певні порції(я роблю кульки)
нічого не прилипає.
",5,Positive,Positive,Positive
"Сам кронштейн нормальний, але не послуга Розетки ""разом дешевше"".
Запропонувало до samsung ue32t4500auxua, а гвинтів потрібного розміру не має. Як результат: додаткові витрати часу і грошей.",3,Neutral,Negative,Negative
"клавіатура не погано друкує, кнопки і все інше зроблено добре і є светодіот для Caps l. крім пробілу він зроблений криво, як завжди в бочці меду є ложка дьогтю
",3,Neutral,Negative,Neutral
"Незадоволена томущо брала велику пачку а вони маломірять і туга резинка нетягниться добре що ще небрала
",2,Negative,Negative,Negative
друга нода навіть знаходячись за 10см від центральної конектиться на 2.4 GHz і постійно втрачає звязок. за такі гроші занадто.,1,Negative,Negative,Negative
"Мікрофон прислали у відкритій і пошарпаній коробці..
Проте виглядає наче він був новий і якісь досить не погана
",2,Negative,Neutral,Neutral
Користюусь мишкою майже рік і недавно зауважив проблему. При нажаті на ліву кнопку мишу вона автоматично нажимається ще 2-4 раза.,2,Negative,Negative,Negative
"Купляла собі такий кабель. Вже на другий день почав заряджати через раз. До кінця тижня взагалі працювати перестав. На заміну такого товару в наявності не було. Повернула.
",1,Negative,Negative,Negative
"Як на мене дуже солодка каша як для такої малої дитини. і дуже береться грудочками.
",3,Neutral,Positive,Negative
"Супер!!! За ці гроші колонка повний космос, приємні матеріали на дотик, якісно зібрана. Коробка теж зроблена з якісного картону, цікаво розпаковувати, власники apple зацінять)))
",5,Positive,Positive,Positive
"спеціально брав дошку без підставки, підставку зробили місцеві умельці в рази кращу за пропоновані
тож доска + кастомна тринога  супер комбо
",5,Positive,Positive,Positive
"Максимально погане управління, зупинити музику можна подушкою, але не можна пальцем.
Максимум що дотягує блютуз - метр
Довгий відгук, секунди 3
Бісить активація асистенту, вона не потрібна",1,Negative,Negative,Negative
"#розпакуваннядіти Якісні підгузники та недорогі. Купляв з безкоштовною доставкою до мінівідділень Rozetka + Justin. Доставкою та сервісом Розетка задоволений.
",5,Positive,Positive,Positive
"Добротна лампа. Тримається міцно. В описі не помітив ,що є три різні режими світла. Був приємний сюрприз.
",5,Positive,Positive,Positive
"Получив комп і монітор. Не з'єднав між собою різні роз'єми. Не зателефонували перед відправленням. Не запропонували кабель або перехідник придбати. Я не задоволений
",1,Negative,Negative,Negative
"Такий не приємний запах самого підгузника, просто їдкий запах хімії.
Попка мокра постійно, погано поглинає.
А так не протікають, гарно сидять на попці. Але всеодно треба частіше міняти, рсобливо вночі(((
",3,Neutral,Negative,Negative
"Клеїв на задню частину монітора і на другий день вже відвалюється. Потрібно чимось доклеювати аби трималася. Поверхню протер перед тим як клеїти.
",3,Neutral,Negative,Negative
"повний шлак. взагалі не чистить язик
просто вібрує вам язик і на тому все
чайна ложка куди ефективніше справляється з тою задачею і нічого додаткового купляти не треба
",1,Negative,Negative,Negative
"Кабель дійсно якісний, обмотка та коннектори зроблені на совість, в роз'ємах не люфтять, з'єднання стабільне. Ноут з ним теж можна заряджати - перевірено.
",5,Positive,Positive,Positive
"Перший раз купили такі трусики-підгузники, купили так як хороша акційна ціна. Нормальні , але очікувала кращу якість, так як саме підгузниками Pampers ми користувалися в перші місяці після народження.
",3,Neutral,Negative,Neutral
"Рабоча штука. Коври стірав мотори мив і сковородки і витяжки чистив. Своє одробила ше і в оренду думаю здать.
",5,Positive,Neutral,Positive
"Вентилятор став спасінням у спеку, зібрали легко, працює майже без шуму, звичайно чути, що працює, але нічого не торохтить. З управлінням теж розібрались швидко. Першої швидкості більш ніж достатнь
",5,Positive,Positive,Positive
"Якість та супер, але коли замовляла скреч карту, не чекали такого підводного каменя як віддирання його від паперу, потім складали все по пазлах і хух що не роздерли все
",3,Neutral,Negative,Neutral
"Особливого вау ефекту не помітила. Дитина п'є, коли хоче пити. Спокійнішою не стала. Звичайний чай швидкого приготування, який нічим не відрізняється від аптечної ромашки,але слабенької концентрації.
",3,Neutral,Neutral,Neutral
"Тішить що з'явилися такі комплекти, раніше я шукав такий комплект, але не знайшов, довелося самому збирати, але природно кейс просто загальний, як валіза, а не під кожну деталь з набору.",5,Positive,Positive,Positive
Купила собі цей чудо робот-пилосос. Задоволена на всі 100%.Свою роботу він робить відмінно. Рекомендую хто ще думає...,5,Positive,Positive,Positive
"Замовлення прийшло дуже швидко, сама кавоварка тиха та має приємний вигляд, але серед значного мінусу кава навіть на максимальній температурі ледь тепла.
",3,Neutral,Negative,Neutral
"Хороший набір, для нашої дитини просто супер. Вньому є зручна корзинка для зберігання, 2 досточки , 2 ножечка і безліч овочів.",5,Positive,Positive,Positive
"Я закохалася в цю помаду, колір приємний, натуральний, на губах сидить краще - ніж без помади. Це моя нова любов
",5,Positive,Positive,Positive
"Купляю вже третій раз) Надоїло їх паяти, але якість клав хороша. Но з пробілом проблеми, через нього потім замикаються доріжки і треба паяти.
",3,Neutral,Negative,Neutral
"Чомусь ця маленька не запрацювала, точніше вона вмикалася, але монітор не відображав картинку. Перевіряв двома відеокартами, дві різні оперативки, два блоки живлення. Купив іншу материнку і все запрацювало.
",2,Negative,Negative,Negative
"якість просто жах, я розумію шо за таку ціну чекати шось не логічно АЛЕ такої жахливої якості я не бачив ніколи
",2,Negative,Negative,Negative
"Не сподобились, хто казав, що не уступають хагісу чи памперсу не правда. Розхід набагато більший ( на штуки 3-4 в день)",2,Negative,Negative,Negative
"Якість хороша, алергії немає, ні чим не лірші ха звичайні памрерс чи хагіс, але нам протікають, більше не буду брати
",3,Neutral,Negative,Neutral
"Товар на свої гроші. Купуючи готуйтесь до того що не всі дрібні гвинти будуть доступні до відкручування з цим інструментом
",3,Neutral,Negative,Neutral
"Також прийшла не робоча рулетка,ручка на ножівці не виглядає надійною. Такі дрібниці псують загальне воаження.
",3,Neutral,Negative,Negative
"Чаї виробника смачні, але не всі. Дивно, що один і той самий чай в різних пакуваннях має різний смак. Краще вибирати подарункові набори - значно смачніші
",3,Neutral,Neutral,Neutral
"Чай смачненький. Чашка не зручна, так як в формі ""серця""- не виходить нормально розмішувати( колотити) ложкою. На подарунок чи знак уваги підійде, виглядає симпатично.
",4,Positive,Neutral,Positive
"Отримала сьогодні тискомір не той що замовила?!Коли передзвонила ,то мене ще звинуватили ,що не вмію з ним працювати.Люди не купляйтесь на таких продавців ,що обманюють людей?!
",1,Negative,Negative,Negative
"Підключив і працюєш.
Штатив дійсно іноді допомагає зручно вибрати потрібний ракурс.
Якщо працювати біля вікна, то камера ловить бліки.
Мікрофон трохи слабенький, хоча не гірше ніж мікрофон самого ноутбука.
",3,Neutral,Neutral,Neutral
"пропила майже всю баночку, не відчуваю по собі якихось помітних змін. ну хіба шо не така виснаженість тепер..
",3,Neutral,Neutral,Neutral
"В ідеалі треба було-б покрити ручки селіконом, або резиною, бо руки будуть як у шахтаря, всі в мозолях
",3,Neutral,Neutral,Neutral
"Купив недавно, все підключилось без проблем, але з мінусів відсутність сирени та погані батарейки в комплекті, датчик дверей вирубився через тиждегь
",3,Neutral,Negative,Negative
Доброго дня отримав данний перехідник при підключенні зображення на екрані зявилося але кожні 30-40 секунд пропадає сигнал.,1,Negative,Negative,Negative
"Отримав. Підключив. Все працює. Сканер виявив помилки у системі запалювання.
Діагностика допомогла усунути несправність. Автомобіль - КІА Ріо 3.",5,Positive,Neutral,Positive
"Пахне гарно і на смак солодке при розчиненні утворюється багато піни. Дитина не хоче їсти, почало сипати.
",2,Negative,Negative,Negative
"Вимикається через 5 хвилин роботи. Вмикається потім через ""танці з бубнами"": потрібно вимкнути живлення і витягнути з гнізда HDMI на декілька хвилин. Доведеться повертати...",1,Negative,Negative,Negative
"Колготки дійсно не відповідають фото на сайті. Малюнок є тільки на ніжках. За ці гроші можна придбати Колготки кращої якості. Є легке розчарування. Подивитися як поведуть себе після прання.
",3,Neutral,Negative,Negative
Взяли собі бюджетний варіант стіральнної машини і задоволені.вже 6 стірка і все супер.робить досить тихо,5,Positive,Positive,Positive
"Як на мене, замала навіть для двох. Миє нормально, не вау.
Якби була можливість (пройшло більше 14 днів від покупки), то повернула б.",3,Neutral,Negative,Neutral
"Рибка яскрава, маленька, але плаває так наче на той світ відходить, взагалі іграшка не сподобалась. А ще син (вік 1,6 )відкусив трішки хвостика, тому не для маленьких діток",2,Negative,Negative,Negative
"Досить приємна кава - зерна цілі, добре обсмажені. Оптимальна суміш робусти та арабіки, насичений смак, гарний аромат, дуже приємний післясмак. Всім раджу каву Jacobs !!!
",5,Positive,Positive,Positive
"Запах старої парфумованої води, що бридко смердить! Жахливо!!! Купувала тут до цього incanto charms і все було добре. Дуже прикро((
",1,Negative,Negative,Negative
"Наче норм, але в кінці коли мало лишається то не зручно з середини діставати рушники.
",3,Neutral,Negative,Neutral
"Непоганий скраб, але за таку ціну міг би бути кращим. Щоб сказати, що ефект ВАУ то далеко немає.",3,Neutral,Negative,Neutral
"мягка але одночасно формована подушка. цікаві незвичні почуття. спиться добре і пройшли болі в потилиці.
",5,Positive,Positive,Positive
"Локшина рисова смачна, соус - не знаю. Його в упаковці не було. Попався брак, або я неуважний. Шкода грошей
",1,Negative,Negative,Negative
"Мийку та змішувач доставили вчасно,але гарантійний талон на мийку зовсім не заповнений,а на змішувач взагалі гарантійного талона немає,відсутні також платіжні чеки на ці вироби
",4,Positive,Negative,Neutral
"хороша якість, немає сторонніх запахів, все гарно профарбовано, без гострих кутів легко вчитись, дитина запамятовує кольори розвиває моторику ",5,Positive,Positive,Positive
"Дійсно, розмір вражає. Теж придбати сину на новий рік. Сподіваюсь він буде взахваті.
Мене іграшка дуже вразила, у позитивному сенсі.
Дякую розетка.
Ще й за таку знижку і ціні.
",5,Positive,Positive,Positive
"В першому відгуку пишете, що розмір йде по тканині, в четрвертому, що тканина вузькіша і розмір по механізму. Який варіант правильний?
",3,Neutral,Neutral,Neutral
"Бабусі телефон не сподобався. Зажим для сім-карти почав відходити через якийсь час і телефон виходив з мережі.
",3,Neutral,Negative,Negative
"Користувались пару раз під час коліків, на якийсь час дитинці ставало легше ( але всеодно, це просто потрібно перечекати)
",3,Neutral,Neutral,Neutral
"Перестала йти пара на наступний день використання, постійно мигає індикатор, я так розумію не може нагріти воду як треба.
",1,Negative,Negative,Negative
"Трейлер переглядав разів 20, схоже взяли все найкраще з RE 4 та RE 7, виглядає класно, треба брати",5,Positive,Positive,Positive
"Має всі потрібні функції, працює чітко. Не треба з собою брати подовжувач і таскати шнур.
",5,Positive,Positive,Positive
"Крім гарного дизайну і підсвітки більш нема нічого хорошого, в порівнянні з 10летней моей старой х7хв750 ваще хлам",2,Negative,Negative,Negative
"Ручка обламалась на першій свічці.
виймаєш вороток, а головка залишається в свічці яку не викрутити бо ручка обломана
",1,Negative,Negative,Negative
"Дешево та суворо. Плаский кабель не перекручується, це плюс. З недоліків - папуговий колір, слабкі кріплення дужки (легко зношуються та ламаються.)
",3,Neutral,Negative,Neutral
"Якісна стрічка. Використовується в парі з гідроізоляційною мастикою Ceresit CL 51 Express. Буде застосована для гідроізоляції санвузла, та подальшим укладанням плитки
#моєрозпакування",5,Positive,Neutral,Positive
"Купив для мами. Зламався через 4 місяці, а гарантійний ремонт - тількуи в одному місті, не в Києві. Не рекомендую.",1,Negative,Negative,Negative
"Шкода, але сину не підійшов((( Пішла алергія по всьому тілі! Можливо буду використовувати сама, якщо підійде! Подарунок не дали(
",2,Negative,Negative,Negative
"Поки що працює та зі своєю задачею справляється. Наліпка на акумуляторі вказує, що дата його виготовлення лютий 2022.
Скільки житиме - час покаже.",4,Positive,Neutral,Positive
"Купив навушники 04.06, якість гарна кейса і навушників, є проблема з шумом посторонім в правому навушнику(який з'являється і зникає), батарея гарно працює.",3,Neutral,Negative,Negative
"Вмикав поки що лише для перевірки, але вже сподобався. Швидко нагріває повітря, легкий, тихий, зроблений на совість в усіх дрібницях.
",5,Positive,Positive,Positive
"Шукала скляний чайник з категорії малогабаритних в лікарню, та в подальшому для подорожей. Покупкою задоволена. Пишуть в відгуках, що кришка не до кінця відкривається, в мене з цим все ОК
",4,Positive,Positive,Positive
"Виправте опис товару.
Це крісло не має ізофікса.
Я поспішив, не перевірив, довірився опису і не отримав того що хотів.
",1,Negative,Negative,Negative
"Нормальна олія за свою ціну, а якщо дочекатися хорошу знижку - то просто ідеальна :)
Взяли в вересні, на сім'ю з двох осіб вистачило до квітня. Використовували для смаження.
",4,Positive,Positive,Positive
"Іржава за півроку хтозна що роздовбаною фарбою на ляді машинки за півсотні тисяч зелених.... То обирайте самі.
",1,Negative,Negative,Negative
"Не раджу замовляти на цьому сайті, ні якої підтримки і ніяких відповідей на питання! Не оновлюйте дрон тому-що більше пульт до нього не підєднається! А розетка вас проігнорить!
",1,Negative,Negative,Negative
"Гарна праска з повним функціоналом та керамічним покриттям підошви за невеликі гроші. Брендові Філіпси та Тефаль аналогічні за потужністю та функціоналом - в кілька разів дорожче.
",5,Positive,Positive,Positive
"Ціна вища ніж альтернативи, міряє так само. Дуже незручно, коли сидиш на самоізоляції, замовив пульсоксиметр, а він без батарейок. Будьте уважними, коли замовляєте
",1,Negative,Negative,Negative
"Сервіс жахливий, купила навушники пройшло декілька днів один навушник перестав працювати,мені навіть не повернули кошти
",1,Negative,Negative,Negative
"Так набір якісний.Все гладеньке, гарно відшліфоване,пальці будуть цілі . Але це дуже дорого. Думаю, що такий чемоданчик не коштує своєї вартості.
",2,Negative,Negative,Negative
"Спочатку ніби здалося ніби нічого, але з часом зрозуміла, що не подобається зовсім... Більше такий не куплю
",3,Neutral,Negative,Negative
"Не дає оцінити товар бракований розпилювач, тупо цвіркає струменем, а не розпилює, менше ніж за два тижні користування флакона 50мл як не бувало((",2,Negative,Negative,Negative
"Мені зовсім не сподобались. Дуже гнуться і тому ними не зручно працювати. В продажі по 4 пачки, що з ними тепер робити? Не рекомендую.",2,Negative,Negative,Negative
"Картридж дійсно підходить під глечик Аквафор. Але якщо В100-6 нам на сім'ю вистачало на 4 тижні, то цього картриджу вистачає на 2 тижні. Невигідно виходить...",3,Neutral,Negative,Negative
"Напій на хімічних ароматизаторах, від яких крутить в носі. Не розумію, хто пише позитивні відгуки! Напевно ті люди, які не пили хорошого шампанського чи вина. ",1,Negative,Negative,Negative
"З першого вмикання зовсім не спрацював, після звукового сигналу постійні0:0; перевірив на 0,5л пива показало 0.7проміле, а на професійному апараті 0.2.",2,Negative,Negative,Negative
"Планшет просто космос! В порівнянні з моїм старим леново, ксяомі літає, звук крутий, екран крутий, батарея теж довго тримає. Рекомендую! За ці гроші кращого не знайти!
",5,Positive,Positive,Positive
"Купили на розетці. Зібрали ввечері, щоб зранку зробити сюрприз до дня народження донечки. Яскравий, міцна конструкція, дуже сподобався донечці.
Але потім на сонці побачили тріщини на покритті столешні. Дуже розчаровані.
",2,Negative,Negative,Negative
"В цілому роботою задоволений.
Незрозумілим є чому машинка при виборі 2хlong coffee (3xaroma) наливає тільки два рази кип'яток.",3,Neutral,Negative,Neutral
"Користуюсь близько тижня. Ефекту поки не помічаю, після нанесення шкіра м'яка та зволожена. Якихось кардинальних змін не помітила",4,Positive,Neutral,Neutral
"Хороший перехідник, але прослужив тільки півтора місяця. З кабелем VGA, монітором і відеокартою все впорядку
",2,Negative,Negative,Negative
"На 1-й тиждень блохи зникли, на 2-й з'явилися знову. Інформація в описі про термін захисту 2 місяці не відповідає дійсності.",2,Negative,Negative,Negative
"Отримав. Виглядає гарно, на 3-тій швидкості дійсно шумить але не критично, світло яскраве, кабель коротковатий, чи добре витягує на свята побачимо))). За таку ціну нормальна витяжка.",5,Positive,Positive,Positive
"Ноутбук сидить нормально не ковзає. Є підстраховочна пділожка знизу тож не падає при будь-якому нахилі. В цілому задоволений.
",5,Positive,Positive,Positive
"Хороший дизайн. Нема регулювання басів на саббуфері. Настройка колонок на нормальне звучання це ще те ""задоволення"". Якщо вибиває світло то всі налаштування злітають і бався знову.
",3,Neutral,Negative,Negative
"Прийшла інша упаковка. Сумка для маркерів зовсім інша і підставки в ній під маркери відсутні. Коли відкриваєш сумку, то маркери розсипаються в різні сторони.
",3,Neutral,Negative,Negative
"Після покупки бажано, щоб десь на свіжому повітрі полежав пару днів, бо смердить дуже.
Але в цілому - відмінний чохол.
",5,Positive,Negative,Positive
"Нажаль мені не підійшла, почала свербіти голова, при коренях жирніють волосся, в мене фарбоване волосся та пористе, середньої густоти.
",3,Neutral,Negative,Negative
