,review,rating,entity_name,dataset_name,review_translate_sentences,review_translate_sentences_tokens,review_translate_sentences_pos,review_translate_sentences_lemma,is_question,sentiment,review_length
10,"Гарна подарункова коробка) Люблю трав'яніий збір, тож мені є чим смакувати. А решта... квіточки, шипшина, плоди.... шось не дуже.
Але чашка наче не фарбується, тож думаю, натуральні барвники
",3.0,mudrost_prirodi_4820167090562,rozetka,"[""Гарна подарункова коробка ) Люблю трав'яніий збір , тож мені є чим смакувати ."", 'А решта .', '. . квіточки , шипшина , плоди . . . . шось не дуже .', 'Але чашка наче не фарбується , тож думаю , натуральні барвники']","[['Гарна', 'подарункова', 'коробка', ')', 'Люблю', ""трав'яніий"", 'збір', ',', 'тож', 'мені', 'є', 'чим', 'смакувати', '.'], ['А', 'решта', '.'], ['.', '.', 'квіточки', ',', 'шипшина', ',', 'плоди', '.', '.', '.', '.', 'шось', 'не', 'дуже', '.'], ['Але', 'чашка', 'наче', 'не', 'фарбується', ',', 'тож', 'думаю', ',', 'натуральні', 'барвники']]","[['ADJF', 'ADJF', 'NOUN', 'PNCT', 'VERB', 'ADJF', 'NOUN', 'PNCT', 'PRCL', 'NOUN', 'VERB', 'NPRO', 'VERB', 'PNCT'], ['CONJ', 'NOUN', 'PNCT'], ['PNCT', 'PNCT', 'NOUN', 'PNCT', 'NOUN', 'PNCT', 'NOUN', 'PNCT', 'PNCT', 'PNCT', 'PNCT', 'VERB', 'PRCL', 'ADVB', 'PNCT'], ['CONJ', 'NOUN', 'PRCL', 'PRCL', 'VERB', 'PNCT', 'PRCL', 'VERB', 'PNCT', 'ADJF', 'NOUN']]","[['гарний', 'подарунковий', 'коробка', ')', 'любити', ""трав'яніий"", 'збір', ',', 'тож', 'мен', 'бути', 'що', 'смакувати', '.'], ['а', 'решта', '.'], ['.', '.', 'квіточка', ',', 'шипшина', ',', 'плід', '.', '.', '.', '.', 'шосити', 'не', 'дуже', '.'], ['але', 'чашка', 'наче', 'не', 'фарбуватися', ',', 'тож', 'думати', ',', 'натуральний', 'барвник']]","[False, False, False, False]",Neutral,28
11,Молочко просто замечательное. на розетке пожалуй самая низкая цела. у нас по аптекам на 35% дороже.,5.0,bubchen_79447_11347,rozetka,"['Молочко просто замечательное .', 'на розетке пожалуй самая низкая цела .', 'у нас по аптекам на 35 % дороже .']","[['Молочко', 'просто', 'замечательное', '.'], ['на', 'розетке', 'пожалуй', 'самая', 'низкая', 'цела', '.'], ['у', 'нас', 'по', 'аптекам', 'на', '35', '%', 'дороже', '.']]","[['NOUN', 'PRCL', 'NOUN', 'PNCT'], ['INTJ', 'ADJF', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'PNCT'], ['PREP', 'NPRO', 'PREP', 'NOUN', 'INTJ', 'NUMB', 'PNCT', 'NOUN', 'PNCT']]","[['молочко', 'просто', 'замечательное', '.'], ['на', 'розеткий', 'пожалувати', 'самая', 'низкая', 'цела', '.'], ['у', 'ми', 'по', 'аптека', 'на', '35', '%', 'дороже', '.']]","[False, False, False]",Positive,16
12,"Ми з цього пюре розпочали прикорм, дуже гарний склад, консистенція, і якість. Синочок був в захваті.
",5.0,gerber_7613287164988,rozetka,"['Ми з цього пюре розпочали прикорм , дуже гарний склад , консистенція , і якість .', 'Синочок був в захваті .']","[['Ми', 'з', 'цього', 'пюре', 'розпочали', 'прикорм', ',', 'дуже', 'гарний', 'склад', ',', 'консистенція', ',', 'і', 'якість', '.'], ['Синочок', 'був', 'в', 'захваті', '.']]","[['NPRO', 'PREP', 'NPRO', 'NOUN', 'VERB', 'NOUN', 'PNCT', 'ADVB', 'ADJF', 'NOUN', 'PNCT', 'NOUN', 'PNCT', 'CONJ', 'NOUN', 'PNCT'], ['NOUN', 'VERB', 'PREP', 'NOUN', 'PNCT']]","[['ми', 'з', 'цей', 'пюре', 'розпочати', 'прикорм', ',', 'дуже', 'гарний', 'склад', ',', 'консистенція', ',', 'і', 'якість', '.'], ['синочок', 'бути', 'в', 'захват', '.']]","[False, False]",Positive,16
13,"Недостатньо інформації про контрольний розчин. Якщо його перевірити на апараті і він показує якусь цифру, то з якою цифрою цей показник порівнювати? Хочеться побачити відповідь.
",3.0,longevita_6397645,rozetka,"['Недостатньо інформації про контрольний розчин .', 'Якщо його перевірити на апараті і він показує якусь цифру , то з якою цифрою цей показник порівнювати ?', 'Хочеться побачити відповідь .']","[['Недостатньо', 'інформації', 'про', 'контрольний', 'розчин', '.'], ['Якщо', 'його', 'перевірити', 'на', 'апараті', 'і', 'він', 'показує', 'якусь', 'цифру', ',', 'то', 'з', 'якою', 'цифрою', 'цей', 'показник', 'порівнювати', '?'], ['Хочеться', 'побачити', 'відповідь', '.']]","[['ADVB', 'NOUN', 'NOUN', 'ADJF', 'NOUN', 'PNCT'], ['CONJ', 'NOUN', 'VERB', 'INTJ', 'NOUN', 'CONJ', 'NPRO', 'VERB', 'NPRO', 'NOUN', 'PNCT', 'CONJ', 'PREP', 'NPRO', 'NOUN', 'NPRO', 'NOUN', 'VERB', 'PNCT'], ['VERB', 'VERB', 'NOUN', 'PNCT']]","[['недостатньо', 'інформація', 'про', 'контрольний', 'розчин', '.'], ['якщо', 'йога', 'перевірити', 'на', 'апарат', 'і', 'він', 'показувати', 'якийсь', 'цифра', ',', 'то', 'з', 'який', 'цифра', 'цей', 'показник', 'порівнювати', '?'], ['хотітися', 'побачити', 'відповідь', '.']]","[False, True, False]",Neutral,25
14,"Мені зовсім не сподобались. Дуже гнуться і тому ними не зручно працювати. В продажі по 4 пачки, що з ними тепер робити? Не рекомендую. ",2.0,novita_belicate_41202445,rozetka,"['Мені зовсім не сподобались .', 'Дуже гнуться і тому ними не зручно працювати .', 'В продажі по 4 пачки , що з ними тепер робити ?', 'Не рекомендую .']","[['Мені', 'зовсім', 'не', 'сподобались', '.'], ['Дуже', 'гнуться', 'і', 'тому', 'ними', 'не', 'зручно', 'працювати', '.'], ['В', 'продажі', 'по', '4', 'пачки', ',', 'що', 'з', 'ними', 'тепер', 'робити', '?'], ['Не', 'рекомендую', '.']]","[['NOUN', 'ADVB', 'PRCL', 'VERB', 'PNCT'], ['ADVB', 'VERB', 'CONJ', 'NOUN', 'NPRO', 'PRCL', 'ADVB', 'VERB', 'PNCT'], ['PREP', 'NOUN', 'PREP', 'NUMB', 'NOUN', 'PNCT', 'CONJ', 'PREP', 'NPRO', 'NPRO', 'VERB', 'PNCT'], ['PRCL', 'VERB', 'PNCT']]","[['мен', 'зовсім', 'не', 'сподобатися', '.'], ['дуже', 'гнутися', 'і', 'том', 'вони', 'не', 'зручно', 'працювати', '.'], ['в', 'продаж', 'по', '4', 'пачка', ',', 'що', 'з', 'вони', 'тепер', 'робити', '?'], ['не', 'рекомендувати', '.']]","[False, False, True, False]",Negative,24
15,"Купив дані розетки на всю квартиру, і через місяць пластик що всередині пожовтів, тепер рамка відрізняється за кольором
",3.0,schneider_electric_asfora_eph2900121,rozetka,"['Купив дані розетки на всю квартиру , і через місяць пластик що всередині пожовтів , тепер рамка відрізняється за кольором']","[['Купив', 'дані', 'розетки', 'на', 'всю', 'квартиру', ',', 'і', 'через', 'місяць', 'пластик', 'що', 'всередині', 'пожовтів', ',', 'тепер', 'рамка', 'відрізняється', 'за', 'кольором']]","[['VERB', 'ADJF', 'NOUN', 'INTJ', 'NPRO', 'NOUN', 'PNCT', 'CONJ', 'PREP', 'NOUN', 'NOUN', 'CONJ', 'ADVB', 'VERB', 'PNCT', 'NPRO', 'NOUN', 'VERB', 'ADVB', 'NOUN']]","[['купити', 'даний', 'розетка', 'на', 'весь', 'квартира', ',', 'і', 'через', 'місяць', 'пластик', 'що', 'всередині', 'пожовтіти', ',', 'тепер', 'рамка', 'відрізнятися', 'за', 'колір']]",[False],Neutral,18
16,"Завжди купую Lovare. Чай дуже смачний, давно хотіла таку чашку. Низька ціна за набір, що радує. Рекомендую.
",5.0,lovare-2000345444710,rozetka,"['Завжди купую Lovare .', 'Чай дуже смачний , давно хотіла таку чашку .', 'Низька ціна за набір , що радує .', 'Рекомендую .']","[['Завжди', 'купую', 'Lovare', '.'], ['Чай', 'дуже', 'смачний', ',', 'давно', 'хотіла', 'таку', 'чашку', '.'], ['Низька', 'ціна', 'за', 'набір', ',', 'що', 'радує', '.'], ['Рекомендую', '.']]","[['NPRO', 'VERB', 'LATN', 'PNCT'], ['NOUN', 'ADVB', 'ADJF', 'PNCT', 'ADVB', 'VERB', 'NPRO', 'NOUN', 'PNCT'], ['ADJF', 'NOUN', 'ADVB', 'ADVB', 'PNCT', 'CONJ', 'VERB', 'PNCT'], ['VERB', 'PNCT']]","[['завжди', 'купувати', 'lovare', '.'], ['чай', 'дуже', 'смачний', ',', 'давно', 'хотіти', 'такий', 'чашка', '.'], ['низький', 'ціна', 'за', 'набір', ',', 'що', 'радувати', '.'], ['рекомендувати', '.']]","[False, False, False, False]",Positive,17
17,"Не синхронізуються. Всі методи які існують були перевірені. Але так нічого не помогло. Кожен працює як окремий гаджет.
",2.0,ergo_bs_510w,rozetka,"['Не синхронізуються .', 'Всі методи які існують були перевірені .', 'Але так нічого не помогло .', 'Кожен працює як окремий гаджет .']","[['Не', 'синхронізуються', '.'], ['Всі', 'методи', 'які', 'існують', 'були', 'перевірені', '.'], ['Але', 'так', 'нічого', 'не', 'помогло', '.'], ['Кожен', 'працює', 'як', 'окремий', 'гаджет', '.']]","[['PRCL', 'VERB', 'PNCT'], ['NPRO', 'NOUN', 'NPRO', 'VERB', 'VERB', 'ADJF', 'PNCT'], ['CONJ', 'PRCL', 'ADVB', 'PRCL', 'VERB', 'PNCT'], ['NPRO', 'VERB', 'PRCL', 'ADJF', 'NOUN', 'PNCT']]","[['не', 'синхронізуватися', '.'], ['весь', 'метода', 'який', 'існувати', 'бути', 'перевірений', '.'], ['але', 'так', 'нічого', 'не', 'помогти', '.'], ['кожний', 'працювати', 'як', 'окремий', 'гаджет', '.']]","[False, False, False, False]",Negative,18
18,"Дизайн - космос. Якість - супер. З додатком не так все просто. Постійно гріє воду, якщо не скористався після увімкнення.
",4.0,xiaomi_viomi_smart_kettle_white_v-sk152a,rozetka,"['Дизайн - космос .', 'Якість - супер .', 'З додатком не так все просто .', 'Постійно гріє воду , якщо не скористався після увімкнення .']","[['Дизайн', '-', 'космос', '.'], ['Якість', '-', 'супер', '.'], ['З', 'додатком', 'не', 'так', 'все', 'просто', '.'], ['Постійно', 'гріє', 'воду', ',', 'якщо', 'не', 'скористався', 'після', 'увімкнення', '.']]","[['NOUN', 'PNCT', 'NOUN', 'PNCT'], ['NOUN', 'PNCT', 'NOUN', 'PNCT'], ['PREP', 'NOUN', 'PRCL', 'PRCL', 'NPRO', 'PRCL', 'PNCT'], ['ADVB', 'VERB', 'NOUN', 'PNCT', 'CONJ', 'PRCL', 'VERB', 'ADVB', 'NOUN', 'PNCT']]","[['дизайн', '-', 'космос', '.'], ['якість', '-', 'супер', '.'], ['з', 'додаток', 'не', 'так', 'весь', 'просто', '.'], ['постійно', 'гріти', 'вода', ',', 'якщо', 'не', 'скористатися', 'після', 'увімкнення', '.']]","[False, False, False, False]",Positive,20
19,"Вмерла через два місяці... Приймач дуже гріється у будь якому ПК та не детектиться. Пишу на обмін.
",3.0,a4tech_g3_760n_wg,rozetka,"['Вмерла через два місяці .', '. . Приймач дуже гріється у будь якому ПК та не детектиться .', 'Пишу на обмін .']","[['Вмерла', 'через', 'два', 'місяці', '.'], ['.', '.', 'Приймач', 'дуже', 'гріється', 'у', 'будь', 'якому', 'ПК', 'та', 'не', 'детектиться', '.'], ['Пишу', 'на', 'обмін', '.']]","[['ADJF', 'PREP', 'NUMR', 'NOUN', 'PNCT'], ['PNCT', 'PNCT', 'NOUN', 'ADVB', 'VERB', 'PREP', 'VERB', 'NPRO', 'NOUN', 'CONJ', 'PRCL', 'VERB', 'PNCT'], ['VERB', 'INTJ', 'NOUN', 'PNCT']]","[['вмерлий', 'через', 'два', 'місяць', '.'], ['.', '.', 'приймач', 'дуже', 'грітися', 'у', 'бути', 'який', 'пк', 'та', 'не', 'детектитися', '.'], ['писати', 'на', 'обмін', '.']]","[False, False, False]",Neutral,17
20,"Купили по акції і купились на crema , висновки:пінка не дуже зразу осідає,і смак в порівнянні з іншими ambassador для мене ця найгірша
",3.0,ambassador_4051146000986,rozetka,"['Купили по акції і купились на crema , висновки : пінка не дуже зразу осідає , і смак в порівнянні з іншими ambassador для мене ця найгірша']","[['Купили', 'по', 'акції', 'і', 'купились', 'на', 'crema', ',', 'висновки', ':', 'пінка', 'не', 'дуже', 'зразу', 'осідає', ',', 'і', 'смак', 'в', 'порівнянні', 'з', 'іншими', 'ambassador', 'для', 'мене', 'ця', 'найгірша']]","[['VERB', 'PREP', 'NOUN', 'CONJ', 'VERB', 'INTJ', 'LATN', 'PNCT', 'NOUN', 'PNCT', 'NOUN', 'PRCL', 'ADVB', 'NOUN', 'VERB', 'PNCT', 'CONJ', 'NOUN', 'PREP', 'ADJF', 'PREP', 'NPRO', 'LATN', 'PREP', 'NOUN', 'NPRO', 'ADJF']]","[['купити', 'по', 'акція', 'і', 'купитися', 'на', 'crema', ',', 'висновок', ':', 'пінка', 'не', 'дуже', 'зраза', 'осідати', ',', 'і', 'смак', 'в', 'порівнянний', 'з', 'інший', 'ambassador', 'для', 'мен', 'цей', 'найгірший']]",[False],Neutral,23
