,review,rating,sentiment,sentiment_ai,sentiment_final
151,"Ноутбук сидить нормально не ковзає. Є підстраховочна пділожка знизу тож не падає при будь-якому нахилі. В цілому задоволений.
",5,Positive,Positive,Positive
152,"Хороший дизайн. Нема регулювання басів на саббуфері. Настройка колонок на нормальне звучання це ще те ""задоволення"". Якщо вибиває світло то всі налаштування злітають і бався знову.
",3,Neutral,Negative,Negative
153,"Прийшла інша упаковка. Сумка для маркерів зовсім інша і підставки в ній під маркери відсутні. Коли відкриваєш сумку, то маркери розсипаються в різні сторони.
",3,Neutral,Negative,Negative
154,"Після покупки бажано, щоб десь на свіжому повітрі полежав пару днів, бо смердить дуже.
Але в цілому - відмінний чохол.
",5,Positive,Negative,Positive
155,"Нажаль мені не підійшла, почала свербіти голова, при коренях жирніють волосся, в мене фарбоване волосся та пористе, середньої густоти.
",3,Neutral,Negative,Negative
156,З коробки 2 години пограла і більше не зарядилась. Повернув місяць тому так ніхто і не звязавсься. Гроші не повернули і колонку нову не дали.,1,Negative,Negative,Negative
157,"Користуюсь тиждень. Непогана мишка за свої гроші. Для того, щоб налаштувати під себе, скачайте додаток з сайту підтримки.
",4,Positive,Positive,Positive
158,"Сенсором користуватися неможливо. Працює рідко і лише для підвищення гучності. Немає сенсу говорити про щось ще, адже це робить навушники до жаху незручними
",1,Negative,Negative,Negative
159,"Акумулятор приймає трохи більше 4 Аг, віддає близько 3,8 Аг при глибокому розряді. Кому важливі цифри ємності, не рекомендую до покупки. Кому в ДБЖ просто ""щоб був"" - можна брати",2,Negative,Neutral,Neutral
160,"Купував у липні одразу дві одна працює без проблем, а друга почала в ночі вмикатися а потім взагалі щоночі треба перепідключати.
",3,Neutral,Negative,Neutral
161,"За свої кошти часи нормальні , але маленькі на руці , після року використання часи перестали працювати
",3,Neutral,Negative,Negative
162,"Не синхронізуються. Всі методи які існують були перевірені. Але так нічого не помогло. Кожен працює як окремий гаджет.
",2,Negative,Negative,Negative
163,"За таку ціну (особливо зі знижкою!) - добра кава: запашна, м""яка, насичена, але не для любителів міцної кави
",5,Positive,Positive,Positive
164,"Після тижня використання на верхній кришці з'явилися гулі,а після корпус верхньої кришки в місцях кріплення тріснув. При роботі в цих місцях дуже висока температура, що і спровокувало такі пошкодження.
",3,Neutral,Negative,Negative
165,"Користуюся місяць.За 1050грн то для них задорого того невартують.
Дуже часто пропадає зєднання.У
дружини моторола за 400грн.у сто разів кращі.",2,Negative,Negative,Negative
166,"Дуже видно подряпини, після миття посуду рідиною від нагару, з'явились білі плями які дуже псують зовнішній вигляд . Користуючись вже 8 місяців. А так все добре.",3,Neutral,Negative,Negative
167,"Сьогодні отримала обігрівач. Нагріває швидко, але не працює терморегулятор. Як його не крути, але електролічильник показує 1200 вт. Ні більше, ні менше. Дуже засмучена.",3,Neutral,Negative,Negative
168,"Церімоція чаєпітія, вся процедура розпаковки іграшки, особливо коли кубик розпанув а в ньому були прикраси. Заворажує. Дякую і рекомендую!
",5,Positive,Positive,Positive
