Unnamed: 0,review,item,sale_info,complaints,review_cleaned,sentiment
52,"Дуже хороші пелюшки,гарно впитують і скоро сохнуть,не збиваються в одну сторону,ідеально підходять для малюків. Однозначно рекомендую ! ",Пелюшки,,,хороший пелюшка гарно впитують скоро сохнути збиватися один сторона ідеально підходити малюк однозначно рекомендувати,Positive
53,"Мій коментар субєкнийвний:
Глючить мало, є затримки але несуттєві.
Пульт зручний, легко керувати.
Думаю це нормальна річ за свої гроші, як для хорошого китайського бренда.
",Пульт,,Несуттєві затримки,коментар субєкнийвний глючити затримка несуттєвий пульт зручний легко керувати думати нормальний річ гроші хороший китайський бренд,Neutral
54,"Взагалі для такого виробу у нього гарна ціна,простий у користуванні,мобільний. Якби була б трішки довша штанга розприскувача.
",Виріб для чищення,,Трішки мала штанга розприскувача,взагалі такий виріб гарний ціна простий користування мобільний якби трішки довший штанга розприскувач,Positive
55,"Не дає оцінити товар бракований розпилювач, тупо цвіркає струменем, а не розпилює, менше ніж за два тижні користування флакона 50мл як не бувало((",Розпилювач,,Розпилювач бракований,давати оцінити товар бракований розпилювач тупо цвіркати струмінь розпилювати тиждень користування флакон бувати,Negative
56,"Дуже задоволена цими трусиками памперси, вони зручні не залишають слідів на дитячому тілі. Добре виконують свою функцію, спимо в них цілу ніч, ні разу нам не протекли. Рекомендую.
Швидка доставка
",Памперси,,,задоволений трусиками памперс зручний залишати слід дитячий тіло виконувати функція спати цілий ніч протекти рекомендувати швидкий доставка,Positive
57,"При роботі штроборізом 25% пилу не всмоктує. Під час чищення салону автомобіля, результат половинчастий. Обичний побутовий пилосос вичистив набагато краще.",Пилосос,,Не всмоктує 25% пилу та результат чищення салону автомобіля не задовільний,робота штроборізом пил всмоктувати чищення салон автомобіль результат половинчастий обичний побутовий пилосос вичистити набагато,Negative
58,"Кабель працює, флешку телефон бачить. Роз'єми при цьому дуже жорсткі - для підключення/відключення що флешки, що телефона потрібно прикладати значні зусилля.
",,,Незручні жорсткі роз'єми,кабель працювати флешка телефон бачити жорсткий підключення відключення флешка телефон прикладати значний зусилля,Neutral
59,Товар дуже не якісний з 50 дисків жодного не вдалось записати нормально. Не рекомендую цей товар,Диски,,Неякісний,товар якісний диск жодний вдатися записати нормально рекомендувати товар,Negative
60,"Не купуйте і НІКОЛИ не пийте ЦЕ. Біля віскі ця бурда навіть порят не стояла.
",Віскі,,Неякісний,купувати пити віскі бурда порят стояти,Negative
61,"Купили цю витяжку півроку тому. Я в декреті, будинки постійно, багато готую і запах і задуха стояли на всю квартиру, ця витяжка впоралася з усім! Дуже задоволена, хоча і шумить.
",Витяжка,,,купити витяжка піврік декрет будинок постійно готувати запах задуха стояти квартира витяжка впоратися задоволений шуміти,Positive
62,"Як на мене завеликий отвір, куди дитина сідає. У мене хлопчина маленький на свої 3 роки і попою майже дістає дна. Не дуже приємно, але все індивідуально)",Крісло для дитини,,Висота отвору для сидіння завелика,завеликий отвір дитина сідати хлопчина маленький попою діставати дно приємно індивідуально,Negative
63,Якби знала що вони такі тонюсіньки то не купила б.За 115гр. можна купити кращі .,,Дорого,Недостатня якість,якби знати тонюсіньки купити купити кращий,Negative
64,"Купив дівчині на 14-е лютого, виявились не робочими, кейс просто показує індикатор підключення, жоден пристрій їх не бачить.",Навушники,,Не працюють,купити дівчина лютий виявитися робочий кейс показувати індикатор підключення жодний пристрій бачити,Negative
65,"Загалом посередня каністра. Купував таких чотири штуки. Дві не пропускають запах бензину, дві пропускають. Тому тут як пощастить. Комплектна лійка незручна, бензин протікає. Розмір і форма зручна.
",Каністра для бензину,,"Незручна лійка, бензин протікає",загалом посередній каністра купувати такий штука пропускати запах бензин пропускати пощастити комплектний лійка незручний бензин протікати розмір форма зручний,Neutral
66,"Наволочки:білі з часом покриття скручується.Розлито було сік червоний,пятно залишилось.
Не приємно на самій наволочці спати.Хрустить.
Х.б і ця це два різних відчуття.
",Наволочки,,Неприємні для сну,наволочка білий час покриття скручуватися розлити сік червоний пятно залишитися приємно наволочка спати хрустіти різний відчуття,Negative
67,"Світло-каштанова фарбує темно-коричневим, я б сказала майже чорним. Тримається на волосах тиждень, на шкірі до двух днів.
",Фарба для волосся,,"Неправильний колір, нестійка фарба",світло каштановий фарбувати темно коричневий чорний триматися волос тиждень шкіра двух день,Negative
68,"Не вартує таких коштів...,не акуратно литий...,з однієї сторони пластмаса жовта...,а як працювати буде,побачимо...,не повертала,бо дома до ока впало,що там брак.
",,,Бракований товар,вартувати такий коштів акуратно литий сторона пластмаса жовтий працювати побачити повертала дома ока впасти брак,Negative
69,"Заказувала 30 липня, світить чудово освічує всю кімнату. Через пару днів після покупки сам почав включатися не дуже комфортно постійно треба включати його.",Світильник,,Виключається,заказувала липень світити чудово освічувати кімната пара день покупка почати включатися комфортно постійно включати,Neutral
70,"раз на рік купую дитині ці навушники. Так, як їх закручують вузлами - не кожні витримають
",Навушники,,,купувати дитина навушник закручувати вузол витримають,Positive
71,"Отримала, і засмутилася, на великій сильно заїдає блискавка, на сумці яка найважливіша, я не знаю чи доживе вона до пологового. ",Сумка,,Блискавка заїдає,отримати засмутитися великий сильно заїдати блискавка сумка найважливіший знати дожити пологовий,Negative
72,"Нажаль при замовленні двох одиниць для однієй не було картонових вставочок в пакуванні. Через це не дуже гарно тримає форму.
",,,Погано тримає форму,нажаль замовлення одиниця однієй картоновий вставочка пакування гарно тримати форма,Negative
73,"Приємний аромат: не різкий, легкий. Як на мене, то це унісекс: інколи сама каристуюся ))). Єдиний мінус (для мене) - нестійкий... Покупкою задоволена але повну версію брати не буду...
",Парфюм,,Нестійкий аромат,приємний аромат різкий легкий унісекс інколи каристуюся єдиний мінус нестійкий покупка задоволений повний версія брати,Neutral
74,"клавіатура не погано друкує, кнопки і все інше зроблено добре і є светодіот для Caps l. крім пробілу він зроблений криво, як завжди в бочці меду є ложка дьогтю
",Клавіатура,,Погана кнопка пробілу,клавіатура погано друкувати кнопка зробити светодіот caps пробіл зроблений криво бочка мед ложка дьогтю,Neutral
75,"Стильний блендер, достатньо потужний та навіть з запасом, подрібнює та взбиває усе. Простий у користуванні, працює чудово. Користуємося 3 місяці.",Блендер,,,стильний блендер достатньо потужний запас подрібнювати взбиває простий користування працювати чудово користуватися місяць,Positive
76,"Легко було налаштувати , та україно мовний застосунок можна оновлювати роутер дивитися хто підключений , та швидкість інтернету дуже добре
",Роутер,,,легко налаштувати україна мовний застосунок оновлювати роутер дивитися підключений швидкість інтернет,Positive
77,"Туш жахлива!!!! Осипається, віт такої щіточки вії в різні сторони стирчать.
Важко змивається.
Наносити потрібно в 3 слої, щоб більш менш нормально виглядали.
Не рекомендую!!",Туш,,Туш неякісна,туш жахливий осипатися віт такий щіточка вія різний сторона стирчати важко змиватися наносити слої нормально виглядати рекомендувати,Negative
78,"Дуже дивно, що на комп""ютері та ноуті вай-фай не виставляється. а на планшеті - є
",,,На комп'ютері та ноутбуці вай-фай не виставляється,дивно ноуті вай фай виставлятися планшет,Negative
79,"Поки що тільки одну вкрутив, світить добре але видає не гучний але помітний гул, димер не використовується.
",Вентилятор,,"Має помітний гул, димер не використовується",один вкрутити світити видавати гучний помітний гул димер використовуватися,Neutral
80,"Тільки купили, встановили і коли включили світло побачили дефекти - оплавлені верхня панель та бічна стінка, явно заводський брак. Не сподівались такаго за цю ціну. Додаю фото.
",,,дефекти на верхній панелі та бічній стінці,купити встановити включити світло побачити дефект оплавлений верхній панель бічний стінка явно заводський брак сподіватися такаго ціна додавати фото,Negative
81,"Бліклий, неконтрастний друк. У конкурентів якість друку знижується в кінці ресурсу картриджу, а тут - низька якість з початку використання.
",Картридж для принтера,,Низька якість друку протягом усього використання картриджу,бліклий неконтрастний друк конкурент якість друк знижуватися кінець ресурс картриджу низький якість використання,Negative
82,"Через тиждень роботи послали періодично рипіти, і коли довго сидиш в них починають боліти вуха
",навушники,,"Неякісний звук, болять вуха",тиждень робота послати періодично рипіти сидіти починати боліти вухо,Negative
83,"Купив недавно, все підключилось без проблем, але з мінусів відсутність сирени та погані батарейки в комплекті, датчик дверей вирубився через тиждегь
",Система безпеки для дому,,"Недоліки: відсутність сирени, погані батарейки в комплекті, датчик дверей вийшов з ладу через тиждень",купити недавно підключитися проблема мінус відсутність сирена поганий батарейка комплект датчик двері вирубитися тиждегь,Neutral
84,"Взяв ці просто на пробу.
Непогані батончики, та всеж пробував набагато кращі, є з чим порівняти. Для мене особисто замалі і як перекус треба хіба 2 зїсти.",Батончики,,Замалі,взяти проба непоганий батончик всеж пробувати набагато кращий порівняти особисто замалий перекус зїсти,Neutral
85,"Після першої зарядки пристрій не працює. Перезапустити неможливо. Навіть коли від'єднати від зарядного всеодно на дисплеї показує, що ніби-то пристрій заряджається. Прошу замінити пристрій на працюючий, або повернути кошти.
",Пристрій,,"Пристрій не працює після першої зарядки, неможливо перезапустити та повертається до заряджання навіть після від'єднання від зарядного пристрою.",перший зарядка пристрій працювати перезапустити неможливо зарядний всеодно дисплеї показувати пристрій заряджатися просити замінити пристрій працюючий повернути кошти,Negative
86,"Гейнер виконує свою функцію чудово. Однак в чоловіка на нього є алергічна реакція: сильний свербіж шкіри.
",Гейнер,,,гейнер виконувати функція чудово чоловік алергічний реакція сильний свербіж шкіра,Neutral
87,"#Розпакуваннядіти
Пазли-гра порадувала. Упаковка тубус великого розміру, якісна, зручно буде зберігати. Пазли великого розміру, яскраві. В комплекті йдуть наклейки і завдання, завдання дитині сподобалися. На подарунок чудовий варіант. Однозначно рекомендуємо
",Пазли,,,розпакуваннядіти пазл гра порадувати упаковка тубус великий розмір якісний зручно зберігати пазл великий розмір яскравий комплект йти наклейка завдання завдання дитина сподобатися подарунок чудовий варіант однозначно рекомендувати,Positive
88,"Придбала цю лампу в кінці січня. Дуже подобалася, нарікань не було. А сьогодні спробувала увімкнути, а вона не вмикається. Все. Вистачило на 2 місяці",Лампа,,Лампа не вмикається після 2 місяців роботи,придбати лампа кінець січень подобатися нарікання спробувати увімкнути вмикатися вистачити місяць,Negative
89,"Коли купив, встановив на нього віндовс, все почало ввдкриватись та завантажуватись миттєво, але вчора ноутбук просто не увімкнувся.
",Ноутбук,,Проблеми з завантаженням ноутбука після першого встановлення Windows,купити встановити віндовс почало ввдкриватись завантажуватись миттєво вчора ноутбук увімкнутися,Negative
90,"9 місяців роботи без проблем, дуже задоволений!!Дуже зручно, що є дві швидкості)другу використовував тільки для міксера, для самонарезів в дерево хватає першої плавної, користуюсь кожен тиждень!)Задоволений!",Електрична пила,,,місяць робота проблема зручно використовувати міксер самонарезів дерево хватати перший плавний користуватися,Positive
91,"Колготки дійсно не відповідають фото на сайті. Малюнок є тільки на ніжках. За ці гроші можна придбати Колготки кращої якості. Є легке розчарування. Подивитися як поведуть себе після прання.
",Колготки,,Невідповідність з фото на сайті,колготки відповідати фото сайт малюнок ніжка гроші придбати колготки кращий якість легкий розчарування подивитися повести прання,Negative
92,"Після 2-х років нечастого використання (1-2 рази на тиждень), згоріла спіраль в 3-х місцях, ремонту не підлягає(( на сервісі кажуть це дуже часта пооблема з фенами Філіпс.",Фен,,Спіраль згоріла в 3-х місцях,нечастий використання раз тиждень згоріти спіраль місце ремонт підлягати сервіс казати частий пооблема фен філіпс,Negative
93,"Дуже поганої якості, більш ніж двоженну щетину просто рве. Поголотися гладко зовсім не вийшло. Не рекомендую нікому
",Бритва,,Погана якість,поганий якість двоженну щетина рвати поголотися гладко вийти рекомендувати ніхто,Negative
94,"Ціна,якість. Монітор коштує своїх грошей. Меню української,що дуже зручно. Дякую компанії за зручну програму андроїд і широкий асортимент товару. Всіх з наступаючим Новим Роком!!!!!!!
",Монітор,,,ціна якість монітор коштувати гроші меню український зручно компанія зручний програма андроїд широкий асортимент товар наступаючий новий рок,Positive
95,"Зручна миша глибокого чорного кольору, користуюсь вже більш ніж пів року, жодних претензій не виникло.
",Миша,,,зручний миша глибокий чорний колір користуватися пів жодний претензія виникнути,Positive
96,"Песик гарний але має мінуси , довжина повідка комфортна до 4років, і сам повідок має дуже погане кріплення до песика, іграшці один день а повідок вже відчіпляється сам(",Іграшка,,Кріплення поводка до песика ненадійне,песик гарний мінус довжина повідка комфортний повідок поганий кріплення песик іграшка повідок відчіплятися,Neutral
97,"Коляска красива та сучасна. Та передні колеса справжній кошмар. Вони крутяться, да так що коляска не їде, довго ми мучилася поки не розрутили їх, та зробили так щоб не крутилися.
",Коляска,,Передні колеса поганої якості,коляска красивий сучасний передній колесо справжній кошмар крутитися да коляска їхати мучитися розрутили зробити крутитися,Neutral
98,"Завжди користуємося цими підгузниками, але замовляла їх з розетки, і чомусь гірша якість. Швидше наповнювалися, обвисали дуже. Таке враження що браковані
",Підгузники,,Браковані,користуватися підгузник замовляти розетка чомусь гірший якість швидше наповнювалися обвисати враження бракований,Negative
99,"Олію вживати неможливо,хімічний запах і смак...П'ять літрів бутль непридатний до вживання....До цього брала літрові дві пляшки,була добра...
",Олія,,Поганий запах і смак,олія вживати неможливо хімічний запах смак літр бутль непридатний вживання брати літровий пляшка добрий,Negative
100,"Мозаіка хорошої якості. Але не було однієї картки з пінгвіном. До мене слідів відкриття упаковки не помітила
",Мозаїка,,,мозаіка хороший якість картка пінгвін слід відкриття упаковка помітити,Positive
101,"Коврик норм , але вонючий , після роботи воняє китайской резиною ще й рука )
",Коврик,,Неприємний запах,коврик норма вонючий робота воняти китайской резиною рука,Negative
102,"Відразу розраховуйте що тут немає мірної ложки і хочаб пробних фільтрів для приготування. Їх немає зовсім, то відразу купуйте фільтр #4",,,Відсутність мірної ложки та фільтрів для приготування,відразу розраховувати мірний ложка хочаб пробний фільтр приготування відразу купувати фільтр,Neutral
103,"В цілому непоганий, але кріплення замков і петель не для такої потужної ручки. Не продумано. Посилка прийшла швидко і якісно упакована. Дякую розетці.",Ручка,,,ціле непоганий кріплення замков петля такий потужний ручка продумати посилка прийти швидко якісно упакований розетці,Neutral
104,"Довго чекала можливості обновити плитку і задоволена. Порівняно зі старою небо і земля. Не віриться що все так гарно і легко працює
",Плитка,,,чекати можливість обновити плитка задоволений порівняно старий небо земля віритися гарно легко працювати,Positive
105,"Замовив цей девайс, добре, що у точці доставки розетки вирішив перевірити, на жаль не включився, і було зламане колесо регулювання.
",,,Зламане колесо регулювання та девайс не включився,замовити девайс точка доставка розетка вирішити перевірити жаль включитися зламаний колесо регулювання,Negative
106,"Вчора тільки отримали годинник. Неможемо знайти функцію прослушка.В характеристиках вказано.
І дуже поганий звук по відеозв'язку, в чому може бути причина?
",Годинник,,Немає функції прослушки в годиннику та поганий звук по відеозв'язку,вчора отримати годинник неможемо знайти функція прослушка характеристика вказати поганий звук причина,Negative
107,"Замовляли це масло в мотор після капіталки (ВАЗ-2103), потемніло вже після 1000 км. Крім того, упаковка товару нікудишня, була надірвана фольга та пломба, коробка виявилася вся в цьому ж маслі.",Масло для мотору,,"Неякісне, упаковка пошкоджена",замовляти масло мотор капіталки потемніти км упаковка товар нікудишній надірваний фольга пломба коробка виявитися масло,Negative
108,З коробки 2 години пограла і більше не зарядилась. Повернув місяць тому так ніхто і не звязавсься. Гроші не повернули і колонку нову не дали.,Колонка,,"Зламалась після 2 годин роботи, поганий сервіс",коробка година пограти зарядитися повернути місяць ніхто звязавсься гроші повернути колонка новий дати,Negative
109,"Неплохой скраб , но за такую цену мог бы быть получше. Чтоб сказать что эффект ВАУ то далеко нет.",Скраб,Висока,,неплохой скраб но такую цену мог бы быть получше чтоб сказать что эффект вау нет,Neutral
110,"Слабкуватий. Але збиває склянку молока. Щоправда, потім я для збивання молока пристосувала френч-прес. Френч прес набагато ефективніше)) зате цим збивачом зручно збивати білки в піну.",Збивач,,"Неефективна для взбивання молока, ефективна для взбивання білків у пену",слабкуватий збивати склянка молоко щоправда збивання молоко пристосувала френч прес френч прес набагато ефективніше збивачом зручно збивати білок піна,Neutral
111,"Хороший перехідник, але прослужив тільки півтора місяця. З кабелем VGA, монітором і відеокартою все впорядку
",Перехідник,,Прослужив недовго,хороший перехідник прослужити півтора місяць кабель vga монітор відеокарта впорядку,Negative
