,review,item,sale_info,complaints
18,"Ручка обламалась на першій свічці.
виймаєш вороток, а головка залишається в свічці яку не викрутити бо ручка обломана
",Свічка,None,"Ручка обламалась на першій свічці, виймаєш вороток, а головка залишається в свічці, яку не викрутити бо ручка обломана"
19,"У мене автомобіль КІА з салону стояв акумулятор виробництва Solite і він пропрацював рівно десять років. Кращої реклами неможливо придумати.
",Акумулятор Solite для автомобіля КІА,None,None
20,"Гарна подарункова коробка) Люблю трав'яніий збір, тож мені є чим смакувати. А решта... квіточки, шипшина, плоди.... шось не дуже.
Але чашка наче не фарбується, тож думаю, натуральні барвники
",Подарункова коробка,None,"Квіточки, шипшина, плоди не дуже сподобались, можливо через ненатуральні барвники"
21,Молочко просто замечательное. на розетке пожалуй самая низкая цела. у нас по аптекам на 35% дороже.,Молочко,Знижка 35% (у порівнянні з аптеками),None
22,"Ми з цього пюре розпочали прикорм, дуже гарний склад, консистенція, і якість. Синочок був в захваті.
",Пюре,None,None
23,"Недостатньо інформації про контрольний розчин. Якщо його перевірити на апараті і він показує якусь цифру, то з якою цифрою цей показник порівнювати? Хочеться побачити відповідь.
",Контрольний розчин,None,Недостатньо інформації про критерії перевірки контрольного розчину
24,"Мені зовсім не сподобались. Дуже гнуться і тому ними не зручно працювати. В продажі по 4 пачки, що з ними тепер робити? Не рекомендую. ",Пачки,По 4 пачки в продажі,"Незручність у використанні, погана якість"
25,"Купив дані розетки на всю квартиру, і через місяць пластик що всередині пожовтів, тепер рамка відрізняється за кольором
",Розетки на всю квартиру,None,Колір пластику на розетках пожовтілий
26,"Завжди купую Lovare. Чай дуже смачний, давно хотіла таку чашку. Низька ціна за набір, що радує. Рекомендую.
",Lovare чай,Низька ціна за набір,None
27,"Не синхронізуються. Всі методи які існують були перевірені. Але так нічого не помогло. Кожен працює як окремий гаджет.
",Не вказано,Всі методи були перевірені,Не синхронізуються
28,"Дизайн - космос. Якість - супер. З додатком не так все просто. Постійно гріє воду, якщо не скористався після увімкнення.
",Дизайн - космос. Якість - супер. З додатком не так все просто.,None,"Постійно гріє воду, якщо не скористався після увімкнення."
29,"Вмерла через два місяці... Приймач дуже гріється у будь якому ПК та не детектиться. Пишу на обмін.
",Пристрій зберігання даних,Немає інформації про акції чи знижки,"Виникли проблеми з приймачем, який гріється та не детектується в будь-якому ПК. Продавець informeed про проблему та пропонує на обмін."
30,"Купили по акції і купились на crema , висновки:пінка не дуже зразу осідає,і смак в порівнянні з іншими ambassador для мене ця найгірша
",Крема,Купили по акції,"Не дуже зразу осідає піна, смак гірший за інші амбасадори"
31,"Прийшло замовлення оперативно, але не зовсім те що на фото. Відсутня скамья Скотта. Навіть в інструкції її нема. Куди можна звернутися, щоб вирішити цю проблему
",Замовлення меблів,None,"Відсутня скамья Скотта, про яку було на фото"
32,"За таку ціну (особливо зі знижкою!) - добра кава: запашна, м""яка, насичена, але не для любителів міцної кави
",кава,є знижка,None
33,"по-моєму, краще хоча б одну точку опори зробити добре, ніж дві жахливо.
на ходу регулювати тільки на свій страх і ризик.
",точка опори,"краще хоча б одну точку опори зробити добре, ніж дві жахливо",на ходу регулювати тільки на свій страх і ризик
34,"Особливого вау ефекту не помітила. Дитина п'є, коли хоче пити. Спокійнішою не стала. Звичайний чай швидкого приготування, який нічим не відрізняється від аптечної ромашки,але слабенької концентрації.
",Чай швидкого приготування для спокійної дитини,None,"Неефективність продукту, не має спокійливого ефекту на дитину"
35,"підключався монітор VGA до ПК, перечитавши відгуки, дійсно HDMI не до кінця входить у роз'єм відеокарти, пласкогубцями відігнув метал зверху над роз'ємом і ввійшло до кінця. Запрацювало зразу без проблем
",Відеомонітор VGA,None,"Жодних, проблема була в неправильному з'єднанні роз'ємів, виправлено шляхом відігнути метал над роз'ємом"
36,"Через невірно вказані на сайті габарити вимушені були повернути, бо автомат не влазить в двері санвузла. Продавець не довольний і потребує оплатити послуги доставки. Це нормально?
",Товар для санвузла,None,"Повернення товару через невірно вказані габарити, вимога оплатити послуги доставки"
37,"Чомусь дитині не зайшло, на смак майже ніяке. Хоча склад ніби ок, і солодкого дитина не куштувала взагалі
",Сніданок для дитини,None,"Смак було несмачним, дитині не сподобалось, хоча солодкого вона ще не куштувала"
38,"Куплені 29.11.2021 року. Вже один навушник не тримає заряд, розряджається й вимикається буквально за кілька хвилин після діставання з футляра. От і кінець історії
",Навушники,None,Навушник не тримає заряд
39,"Підключав з ноута до телевізора. І фільми, і ігри ідуть на ура. Зображення чітке, звук є. Розширення ноута: 1920x1080 (Full HD)
",Підключення ноутбука до телевізора,None,None
40,"Гарна праска з повним функціоналом та керамічним покриттям підошви за невеликі гроші. Брендові Філіпси та Тефаль аналогічні за потужністю та функціоналом - в кілька разів дорожче.
",Праска з керамічним покриттям підошви,"Знижка або акція не вказані, але пропонується за невеликі гроші",None
41,"При включенні просто чорний екран, пише що тип сигналу не сумісний, перевірив ще на 2 моніторах і на різних пристроях: відеокарти, т2 тюнери. Результат такий самий. Не працює.
",Пристрій для підключення монітора,None,Пристрій не сумісний з моніторами та відеокартю/т2 тюнером.
42,"Брали на подарунок, коробки пом'яті, наклейки порвані, неакуратно виглядали. Стосовно самого чаю - очікували більшого. Аромат ледь відчутний, смаку майже нема. Все-таки розсипний чай смачніше ніж пакетований
",Чай у пакетах,None,"КорBOXі пом'яті, наклейки порвані, чай з малим ароматом та смаком. Очікування були вищі."
43,"Пропрацював неповний тиждень і накрився, спочатку показувало все прекрасно, але потім почало показувати три різнокольорові зображення віддільно. Після вимкнення комп‘ютера при повторному під‘єднанні і перестало виводити зображення взагалі ",Монітор,None,Зображення не відображаються після повторного підключення після вимкнення комп'ютера
44,"Памперси українського виробництва. Взагальному нормальні, але польського виробництва плотніші та грубші. Тому більше замовляти не буду.
",Памперси,None,Памперси українського виробництва менш плотні та грубі у порівнянні з польськими
45,"Пропрацював рівно день і здох, підозрюю що через адаптер живлення він у мене 65w а на одному з фото пише що максимум 60, але до того працював добре
",Адаптер живлення ноутбука,None,"Підозрюю, що через адаптер живлення виникли проблеми з постачанням електроенергії. На одному з фото позначено, що максимум допустима потужність - 60W, а у вас адаптер на 65W."
46,"Користуюсь тиждень. Непогана мишка за свої гроші. Для того, щоб налаштувати під себе, скачайте додаток з сайту підтримки.
",Мишка,Тиждень,None
47,"Щоб гарно було чути, потрібно мікрофон наближати до самого рота, інакше - сторонні звуки і гірший звук
",Книга,None,Відсутні скарги або негативні коментарі
48,"Купив собі. Пробував на авто зривати . то зірвав без проблем і затянув. Як для себе буде норм, а от для СТО то мабудь невитримає.
",Авто зривач . то,None,Не витримує для СТО
49,"Купила для своєї бабусі у літню кухню. Дуже швидко прогріла приміщення і приємно порадувала варильна поверхня, на якій змогли приготувати їжу. Дякую за швидку доставку і якісну продукцію.
",Літня кухня,None,None
50,"Брав 2 штуки, на сім'ю з 5 чоловік, пів року політ нормальний, заряджаються раз в 3-4 тижні. Функціонал задоволений на всі 100%
",Бездротові навушники,None,None
51,"витяжка мені подобається. всі характеристики відповідають опису. зручно наявність таймера, з його допомогою тепер контролюю процес приготування, двигун мощний але не гулкий. однозначно вартий уваги варіант!
",Витяжка,None,None
52,"Дуже хороші пелюшки,гарно впитують і скоро сохнуть,не збиваються в одну сторону,ідеально підходять для малюків. Однозначно рекомендую ! ",Пелюшки,None,None
53,"Мій коментар субєкнийвний:
Глючить мало, є затримки але несуттєві.
Пульт зручний, легко керувати.
Думаю це нормальна річ за свої гроші, як для хорошого китайського бренда.
",Пульт дистанційного керування,None,"Мало глючить, є несуттєві затримки"
54,"Взагалі для такого виробу у нього гарна ціна,простий у користуванні,мобільний. Якби була б трішки довша штанга розприскувача.
",Виріб для чищення,None,Трішки довша штанга розприскувача
55,"Не дає оцінити товар бракований розпилювач, тупо цвіркає струменем, а не розпилює, менше ніж за два тижні користування флакона 50мл як не бувало((
",Розпилювач для рідин,None,"Розпилювач бракований, тупо цвіркає струменем замість розпилювання."
56,"Дуже задоволена цими трусиками памперси, вони зручні не залишають слідів на дитячому тілі. Добре виконують свою функцію, спимо в них цілу ніч, ні разу нам не протекли. Рекомендую.
Швидка доставка
",Трусики памперси,Швидка доставка,None
57,"При роботі штроборізом 25% пилу не всмоктує. Під час чищення салону автомобіля, результат половинчастий. Обичний побутовий пилосос вичистив набагато краще.
",Штроборіз,None,Не всмоктує 25% пилу та результат чищення салону автомобіля не задовільний
58,"Кабель працює, флешку телефон бачить. Роз'єми при цьому дуже жорсткі - для підключення/відключення що флешки, що телефона потрібно прикладати значні зусилля.
",Кабель для підключення флешки до телефону,None,Незручні жорсткі роз'єми
59,"Товар дуже не якісний з 50 дисків жодного не вдалось записати нормально. Не рекомендую цей товар
",Товар/послуга,None,"Товар дуже не якісний, з 50 дисків жодного не вдалось записати нормально."
60,"Не купуйте і НІКОЛИ не пийте ЦЕ. Біля віскі ця бурда навіть порят не стояла.
",Бурда,None,Неякісна бурда поруч з віскі
61,"Купили цю витяжку півроку тому. Я в декреті, будинки постійно, багато готую і запах і задуха стояли на всю квартиру, ця витяжка впоралася з усім! Дуже задоволена, хоча і шумить.
",Витяжка,None,Шумить під час роботи
62,"Як на мене завеликий отвір, куди дитина сідає. У мене хлопчина маленький на свої 3 роки і попою майже дістає дна. Не дуже приємно, але все індивідуально)
",Крісло для дитини,None,Висота отвору для сидіння завелика
63,"Якби знала що вони такі тонюсіньки то не купила б.За 115гр. можна купити кращі .
","Товар не вказано явно, але можна зробити висновок, що мова йде про якісний товар",None,Недостатня якість товару для ціни
64,"Купил девушке на 14-ое февраля, оказались не рабочие, кейс просто показывает индикатор подключения, ни 1 устройство их не видит.",Неназваний пристрій Bluetooth,None,"Куплені для дівчини на 14 лютого, пристрої не працюють, просто показує індикатор підключення, жодне з них не виявляється."
65,"Загалом посередня каністра. Купував таких чотири штуки. Дві не пропускають запах бензину, дві пропускають. Тому тут як пощастить. Комплектна лійка незручна, бензин протікає. Розмір і форма зручна.
",Каністра для бензину,None,Непроникна лійка та протікання бензину з комплектної лійки
66,"Наволочки:білі з часом покриття скручується.Розлито було сік червоний,пятно залишилось.
Не приємно на самій наволочці спати.Хрустить.
Х.б і ця це два різних відчуття.
",Наволочки,None,"Наволочки білі, але з часом покриття скручується. При спаленні на них залишаються плями, зокрема від сіку. Незручно для сну через хрускливі звуки та неприємне відчуття на самої наволочці."
67,"Світло-каштанова фарбує темно-коричневим, я б сказала майже чорним. Тримається на волосах тиждень, на шкірі до двух днів.
",Фарба для волосся світло-каштанова,None,Негативний відгук про стійкість фарби на шкірі та волоссі
68,"Не вартує таких коштів...,не акуратно литий...,з однієї сторони пластмаса жовта...,а як працювати буде,побачимо...,не повертала,бо дома до ока впало,що там брак.
",Назва товару/послуги не вказана,немає акції чи знижки,"з однієї сторони пластмаса жовта, акуратно не литий, ціна не виправдана, не повертала через брак"
69,"Заказувала 30 липня, світить чудово освічує всю кімнату. Через пару днів після покупки сам почав включатися не дуже комфортно постійно треба включати його.
",Світильник,None,Через пару днів після покупки сам почав включатися не дуже комфортно постійно треба включати його.
70,"раз на рік купую дитині ці навушники. Так, як їх закручують вузлами - не кожні витримають
",Навушники,None,Незручність закручування навушників вузлами
71,"Отримала, і засмутилася, на великій сильно заїдає блискавка, на сумці яка найважливіша, я не знаю чи доживе вона до пологового. ",Сумка для вагітних,None,"Кришка блискавки сильно заїдає, невідомо чи сумка витримає до пологів"
72,"Нажаль при замовленні двох одиниць для однієй не було картонових вставочок в пакуванні. Через це не дуже гарно тримає форму.
",Товар без вказання назви,None,Не було картонових вставочок в пакуванні для однієї з двох одиниць товару
73,"Приємний аромат: не різкий, легкий. Як на мене, то це унісекс: інколи сама каристуюся ))). Єдиний мінус (для мене) - нестійкий... Покупкою задоволена але повну версію брати не буду...
",Приємний аромат,None,Нестійкий аромат
74,"клавіатура не погано друкує, кнопки і все інше зроблено добре і є светодіот для Caps l. крім пробілу він зроблений криво, як завжди в бочці меду є ложка дьогтю
",клавіатура,None,в бочці меду є ложка дьогтю
75,"Стильный блендер, достаточно мощный и даже с запасом, измельчает и взбивает все. Прост в обращении, работает на отлично. Пользуемся 3 месяца.",Стильний блендер,None,None
76,"Легко було налаштувати , та україно мовний застосунок можна оновлювати роутер дивитися хто підключений , та швидкість інтернету дуже добре
",застосунок,None,"Легко було налаштувати, можна оновлювати роутер дивитися хто підключений, та швидкість інтернету дуже добре"
77,"Туш жахлива!!!! Осипається, віт такої щіточки вії в різні сторони стирчать.
Важко змивається.
Наносити потрібно в 3 слої, щоб більш менш нормально виглядали.
Не рекомендую!!
",Туш,None,"Туш жахлива, осипається, важко змивається, потрібно наносити в 3 слої"
78,"Дуже дивно, що на комп""ютері та ноуті вай-фай не виставляється. а на планшеті - є
",Інтернет-з'єднання,None,На комп'ютері та ноутбуці вай-фай не виставляється
79,"Поки що тільки одну вкрутив, світить добре але видає не гучний але помітний гул, димер не використовується.
",Вентилятор,None,"Має помітний гул, димер не використовується"
80,"Тільки купили, встановили і коли включили світло побачили дефекти - оплавлені верхня панель та бічна стінка, явно заводський брак. Не сподівались такаго за цю ціну. Додаю фото.
",світло,None,дефекти на верхній панелі та бічній стінці
81,"Бліклий, неконтрастний друк. У конкурентів якість друку знижується в кінці ресурсу картриджу, а тут - низька якість з початку використання.
",Картридж для принтера,None,Низька якість друку протягом усього використання картриджу
82,"Через тиждень роботи послали періодично рипіти, і коли довго сидиш в них починають боліти вуха
",наушники,None,"Через тиждень роботи послали періодично рипіти, і quando довго сидиш в них починають боліти вуха"
83,"Купив недавно, все підключилось без проблем, але з мінусів відсутність сирени та погані батарейки в комплекті, датчик дверей вирубився через тиждегь
",Система безпеки для дому,None,"Недоліки: відсутність сирени, погані батарейки в комплекті, датчик дверей вийшов з ладу через тиждень"
84,"Взяв ці просто на пробу.
Непогані батончики, та всеж пробував набагато кращі, є з чим порівняти. Для мене особисто замалі і як перекус треба хіба 2 зїсти.
",Батончики,None,Недостатня кількість батончиків для перекусу
85,"Після першої зарядки пристрій не працює. Перезапустити неможливо. Навіть коли від'єднати від зарядного всеодно на дисплеї показує, що ніби-то пристрій заряджається. Прошу замінити пристрій на працюючий, або повернути кошти.
",Пристрій,None,"Пристрій не працює після першої зарядки, неможливо перезапустити та повертається до заряджання навіть після від'єднання від зарядного пристрою."
86,"Гейнер виконує свою функцію чудово. Однак в чоловіка на нього є алергічна реакція: сильний свербіж шкіри.
",Гейнер,None,Сильний свербіж шкіри після контакту з генератором
87,"#Розпакуваннядіти
Пазли-гра порадувала. Упаковка тубус великого розміру, якісна, зручно буде зберігати. Пазли великого розміру, яскраві. В комплекті йдуть наклейки і завдання, завдання дитині сподобалися. На подарунок чудовий варіант. Однозначно рекомендуємо
",Пазли-гра,None,None
88,"Придбала цю лампу в кінці січня. Дуже подобалася, нарікань не було. А сьогодні спробувала увімкнути, а вона не вмикається. Все. Вистачило на 2 місяці
",Лампа,None,Лампа не вмикається після 2 місяців роботи
89,"Коли купив, встановив на нього віндовс, все почало ввдкриватись та завантажуватись миттєво, але вчора ноутбук просто не увімкнувся.
",Ноутбук,None,Проблеми з завантаженням ноутбука після першого встановлення Windows
90,"9 місяців роботи без проблем, дуже задоволений!!Дуже зручно, що є дві швидкості)другу використовував тільки для міксера, для самонарезів в дерево хватає першої плавної, користуюсь кожен тиждень!)Задоволений!
",Електрична пила,None,None
91,"Колготки дійсно не відповідають фото на сайті. Малюнок є тільки на ніжках. За ці гроші можна придбати Колготки кращої якості. Є легке розчарування. Подивитися як поведуть себе після прання.
",Колготки,None,"Колготки не відповідають фото на сайті, є легке розчарування. Подивитися як поведуть себе після прання."
92,"Після 2-х років нечастого використання (1-2 рази на тиждень), згоріла спіраль в 3-х місцях, ремонту не підлягає(( на сервісі кажуть це дуже часта пооблема з фенами Філіпс.
",Вентилятор Філіпс,None,"Спіраль згоріла в 3-х місцях, не підлягає ремонту"
93,"Дуже поганої якості, більш ніж двоженну щетину просто рве. Поголотися гладко зовсім не вийшло. Не рекомендую нікому
",Щетинка для гоління,None,"Поганої якості, неможливо поголитися гладко"
94,"Ціна,якість. Монітор коштує своїх грошей. Меню української,що дуже зручно. Дякую компанії за зручну програму андроїд і широкий асортимент товару. Всіх з наступаючим Новим Роком!!!!!!!
",Монітор,None,None
95,"Зручна миша глибокого чорного кольору, користуюсь вже більш ніж пів року, жодних претензій не виникло.
",Зручна миша глибокого чорного кольору,None,None
96,"Песик гарний але має мінуси , довжина повідка комфортна до 4років, і сам повідок має дуже погане кріплення до песика, іграшці один день а повідок вже відчіпляється сам(
",Песик,None,Кріплення поводка до песика ненадійне
97,"Коляска красива та сучасна. Та передні колеса справжній кошмар. Вони крутяться, да так що коляска не їде, довго ми мучилася поки не розрутили їх, та зробили так щоб не крутилися.
",Коляска,None,"Передні колеса крутяться самостійно, що заважає колясці рухатися"
98,"Завжди користуємося цими підгузниками, але замовляла їх з розетки, і чомусь гірша якість. Швидше наповнювалися, обвисали дуже. Таке враження що браковані
",Підгузники,None,"Підгузники швидше наповнювалися та обвисали, має враження на браковані"
99,"Олію вживати неможливо,хімічний запах і смак...П'ять літрів бутль непридатний до вживання....До цього брала літрові дві пляшки,була добра...
",Олія,None,Непридатна до вживання олія з хімічним запахом та смаком
100,"Мозаіка хорошої якості. Але не було однієї картки з пінгвіном. До мене слідів відкриття упаковки не помітила
",Мозаика,None,Не було картки з пінгвіном та відсутність слідів відкриття упаковки
101,"Коврик норм , но вонючий , після роботи воняє китайской резиной ще й рука )
",Коврик,None,"Ковер має неприємний запах китайської резини, після використання воняє рукам."
102,"Відразу розраховуйте що тут немає мірної ложки і хочаб пробних фільтрів для приготування. Їх немає зовсім, то відразу купуйте фільтр #4
",Набір для приготування кави,None,Відсутність мірної ложки та фільтрів для приготування
103,"В целом неплохой, но крепление замков и петель не для такой мощной ручки. Не продумано. Посылка пришла быстро и качественно упакована. Спасибо розетке.",Ручка,None,Креплення замків і петель не для такої мощної ручки. Не продумано.
104,"Довго чекала можливості обновити плитку і задоволена. Порівняно зі старою небо і земля. Не віриться що все так гарно і легко працює
",Плитка,Немає інформації про акцію чи знижку,"Немає скарг, відгук позитивний"
105,"Замовив цей девайс, добре, що у точці доставки розетки вирішив перевірити, на жаль не включився, і було зламане колесо регулювання.
",девайс,None,Зламане колесо регулювання та девайс не включився
106,"Вчора тільки отримали годинник. Неможемо знайти функцію прослушка.В характеристиках вказано.
І дуже поганий звук по відеозв'язку, в чому може бути причина?
",Годинник,None,Немає функції прослушки в годиннику та поганий звук по відеозв'язку
107,"Замовляли це масло в мотор після капіталки (ВАЗ-2103), потемніло вже після 1000 км. Крім того, упаковка товару нікудишня, була надірвана фольга та пломба, коробка виявилася вся в цьому ж маслі.
",Масло для мотора ВАЗ-2103,None,"Потемніло після 1000 км, упаковка пошкоджена, коробка з маслом"
108,"З коробки 2 години пограла і більше не зарядилась. Повернув місяць тому так ніхто і не звязавсься. Гроші не повернули і колонку нову не дали.
",Наушники,None,"Зламався після 2 годин роботи, поганий сервіс післяпродажної підтримки"
109,"Неплохой скраб , но за такую цену мог бы быть получше. Чтоб сказать что эффект ВАУ то далеко нет.",Скраб,None,"Ефект від скрабу не викликав захоплення, може бути покращено якості"
110,"Слабоват. Но взбивает стакан молока. Правда, потом я для взбивания молока приспособила френч пресс. Френч пресс гараздо эффективнее)) зато этим взбивателем удобно взбивать белки в пену.",электрический взбиватель,None,"Неефективна для взбивання молока, ефективна для взбивання білків у пену"
111,"Хороший перехідник, але прослужив тільки півтора місяця. З кабелем VGA, монітором і відеокартою все впорядку
",Хороший перехідник,None,Прослужив недовго
112,"Доброго дня отримав данний перехідник при підключенні зображення на екрані зявилося але кожні 30-40 секунд пропадає сигнал.
",Перехідник,None,При підключенні зображення на екрані періодично пропадає сигнал протягом 30-40 секунд
113,"Мийку та змішувач доставили вчасно,але гарантійний талон на мийку зовсім не заповнений,а на змішувач взагалі гарантійного талона немає,відсутні також платіжні чеки на ці вироби
",Мийка та змішувач,None,Незаповнений гарантійний талон на мийку та відсутність платіжних чеків на обидва вироби
114,"Добрий день. Придбав ваш кабель. Скиньте, будь ласка, на пошту файли, котрі є на диску з кабелем.
",кабель,None,None
115,"повний шлак. взагалі не чистить язик
просто вібрує вам язик і на тому все
чайна ложка куди ефективніше справляється з тою задачею і нічого додаткового купляти не треба
",Полный шлак для чищення язика,None,"Не чистить язик, замість цym вібрує. Рекомендується використовувати звичайну чайну ложку замість."
116,"Купляли цей попкорн навесні, було дуже смачно.
Купили тиждень тому - і повне розчарування.
Пересолений та багато мотлоху.
Більше купляти не будемо.
",попкорн,None,Пересолений та багато мотлоху.
117,"Роутер хороший, вайфай тягне через перекриття та товсту стіну.
За 2 місяці користування ніяких проблем.
",Роутер,None,Вайфай тягне через перекриття та товсту стіну
118,"Хороші олівці, м'які і не блищать на папері. Магазин чудовий — уточнили деталі і відправили товар швидко, незважаючи на святкові дні. Дуже миле пакування з побажаннями.
",Хороші олівці,None,None
119,"гарний корпус ,добре продуваеться, влазять всі кулера
Щоб передня кришка легче знімалась треба змастити салидолом затискачі,тоді взагалі легко знімаеться
",гарний корпус,None,Негативних коментарів не виявлено
120,"Підходить не до всіх типів шкіри, ролик не прокручується, потрібно допомагати руками ( відповідно забруднюється ). Брак серйозний !!!
",Крем для масажу,None,"Брак серйозний! Не підходить до всіх типів шкіри, ролик не прокручується, потрібно допомагати руками."
121,"на цю стрічку у ванній кімнаті приклеїв стерилізатор для зубних щіток, через тиждень все відвалилось ...Добре хоч щітки цілі залишились...
",Стерилізатор для зубних щіток,None,Стерилізатор для зубних щіток відвалився через тиждень після встановлення
122,"Підійде для домашнього використання . Взяла один раз в спорт зал весь обшарпався... Дуже лущиться верхній шар (фіолетовий)
",спорт зал,None,Верхній шар фіолетового кольору сильно лущиться
123,"Отримав. Підключив. Все працює. Сканер виявив помилки у системі запалювання.
Діагностика допомогла усунути несправність. Автомобіль - КІА Ріо 3.
",Автомобіль - КІА Ріо 3,None,Сканер виявив помилки у системі запалювання
124,"Аромат так собі, в толпі вас не впізнають, стійкість на рівні 300 грн за банку. Ну це на мою думку. Виробник Іспанія.
",Аромат,None,"Аромат так собі, стійкість на рівні 300 грн за банку. Ну це на мою думку."
125,"Подарувала своєму хлопцю на новий рік, поки мінусів не виявили, йому подобається , зручно , що довжина регулюється коліщатком і не потрібно міняти насадки. За свою ціну
",Регульований триimmer для бороди,Жодної акції чи знижки не виявлено,Жодних скарг або негативних коментарів не виявлено
126,"Нажаль мені не підійшла, почала свербіти голова, при коренях жирніють волосся, в мене фарбоване волосся та пористе, середньої густоти.
",Послуга фарбування волосся,None,"Негативний відгук про волосся: жирні волосся при коренях, фарбоване та пористе, середньої густоти."
127,"Забрала вчора, виявився неробочим. Батерейок в комплекті не було, можливості перевірити на місці не було.
",Неробочий товар,None,Не було батерейок у комплекті
128,"Будь ласка не вводіть покупців в оману, на версії прошивки 1.5.1 у всьому європейському регіоні функція круїз контролю не доступна
скоріш за все це стосується всіх самокатів найнбот :)
",Самокат Najnbot,Немає інформації про акції чи знижки,"Висновок стосується функції круїз-контролю, яка недоступна на версії прошивки 1.5.1 у всьому європейському регіоні для самокатів Najnbot"
129,"Дуже задоволена. Дякую за швидке і гарне обслуговування. Все як завжди відмінно!
Айкос дуже стильний, зручний. Працює добре, заряд тримає довго.
","Айкос, телефон",None,None
130,"Вибирав по відгуках та вказаних в характеристиках розмірах. Мені підійшло ідеально. Комплектація була повною. Збирається та встановлюється дуже легко.
",Набір для збирання меблів,None,None
131,"Міцний шнур, що працює. Коли купував, то боявся, що будуть якісь проблеми(вже не раз попадався на те, що конектори не тримаються нормально), але тут поки все як треба.
",Міцний шнур,None,None
